日期,开盘,收盘,最高,最低,成交量,成交额
2010-01-04,3592.47,3535.23,3597.75,3535.23,66101080,93419838921.0
2010-01-05,3545.19,3564.04,3577.53,3497.66,85809641,128302442618.0
2010-01-06,3558.7,3541.73,3588.83,3541.17,78473125,121045989916.0
2010-01-07,3543.16,3471.46,3558.56,3452.77,80350037,120436166283.0
2010-01-08,3456.91,3480.13,3482.08,3426.7,60790253,90190959969.0
2010-01-11,3593.11,3482.05,3594.53,3465.32,89980172,134114001104.0
2010-01-12,3477.84,3534.92,3535.41,3437.66,93743278,134071416354.0
2010-01-13,3448.29,3421.14,3490.11,3415.69,112457901,159860384574.0
2010-01-14,3433.47,3469.05,3470.32,3411.81,83353252,118107870086.0
2010-01-15,3472.52,3482.74,3500.07,3448.66,72543102,104035175785.0
2010-01-18,3471.78,3500.68,3501.26,3458.04,82854307,117884258544.0
2010-01-19,3506.81,3507.48,3528.39,3497.09,74883232,108023525533.0
2010-01-20,3512.25,3394.43,3515.45,3387.82,92495146,128416164613.0
2010-01-21,3397.04,3408.57,3425.18,3364.72,70595068,100076607006.0
2010-01-22,3364.45,3366.2,3390.8,3293.19,88933404,119197815814.0
2010-01-25,3340.01,3328.01,3372.43,3326.27,56849171,76626626843.0
2010-01-26,3328.11,3242.8,3341.2,3222.14,61752231,81586059213.0
2010-01-27,3243.04,3198.57,3255.12,3183.36,52691394,70540273182.0
2010-01-28,3195.29,3206.57,3220.31,3168.46,46990716,64082115658.0
2010-01-29,3190.31,3204.16,3249.46,3176.92,50262613,68018118702.0
2010-02-01,3198.23,3152.71,3198.31,3116.44,57001380,75982150475.0
2010-02-02,3170.78,3146.19,3211.94,3143.08,50130033,68318412373.0
2010-02-03,3160.71,3230.72,3231.1,3094.57,64798894,87536249983.0
2010-02-04,3206.43,3218.8,3242.52,3190.44,58972726,75466552963.0
2010-02-05,3147.72,3153.09,3177.42,3129.92,59105845,73693132366.0
2010-02-08,3152.25,3150.99,3172.31,3133.81,37355951,47902429250.0
2010-02-09,3147.76,3169.19,3178.95,3144.48,35953158,45222660374.0
2010-02-10,3195.14,3214.13,3214.46,3182.83,34219894,48152144637.0
2010-02-11,3216.69,3220.4,3238.35,3207.17,35791052,46999712971.0
2010-02-12,3232.88,3251.28,3253.2,3228.74,34058238,46703220577.0
2010-02-22,3248.95,3233.34,3261.95,3232.78,38283772,49981333658.0
2010-02-23,3225.39,3198.63,3225.39,3152.93,42742898,62386076936.0
2010-02-24,3177.08,3244.48,3244.82,3165.13,49989437,64414097361.0
2010-02-25,3252.15,3292.13,3294.14,3249.33,67586617,89485801632.0
2010-02-26,3286.09,3281.67,3301.15,3273.69,52107288,70171666128.0
2010-03-01,3290.01,3324.42,3330.38,3287.56,60504520,81205689009.0
2010-03-02,3327.1,3311.24,3339.89,3299.69,57034374,76233992315.0
2010-03-03,3313.02,3335.08,3335.65,3293.92,60622732,78442132954.0
2010-03-04,3338.67,3250.57,3345.91,3244.98,69346810,89462913752.0
2010-03-05,3253.16,3259.76,3276.4,3239.68,45629138,59621178434.0
2010-03-08,3268.4,3286.18,3293.93,3258.03,41540876,54686555117.0
2010-03-09,3285.62,3305.86,3322.51,3255.98,54199486,71971297725.0
2010-03-10,3304.04,3279.69,3321.08,3267.76,46421079,61760429281.0
2010-03-11,3282.2,3276.71,3303.49,3251.7,47487754,63732658851.0
2010-03-12,3277.31,3233.13,3284.26,3232.12,39957344,52611210820.0
2010-03-15,3231.22,3183.18,3234.82,3171.8,37844304,49219898122.0
2010-03-16,3183.77,3203.97,3204.29,3169.1,30847780,41510426396.0
2010-03-17,3214.22,3273.92,3274.0,3207.27,45800934,62587395428.0
2010-03-18,3277.88,3267.55,3295.37,3256.59,46948013,62509130228.0
2010-03-19,3270.98,3293.87,3296.41,3251.14,46062187,62114230718.0
2010-03-22,3297.82,3302.63,3313.92,3288.51,49439462,65652976792.0
2010-03-23,3305.55,3275.57,3309.12,3272.92,46539536,62145531443.0
2010-03-24,3282.05,3276.67,3298.54,3271.03,44547966,58330301241.0
2010-03-25,3270.39,3229.13,3270.39,3222.82,44984285,58604759567.0
2010-03-26,3226.8,3275.0,3285.39,3220.59,47444965,61592843185.0
2010-03-29,3295.76,3358.54,3363.6,3293.67,84724910,110326973484.0
2010-03-30,3361.35,3366.71,3372.26,3350.31,56436980,78682669413.0
2010-03-31,3369.19,3345.61,3369.9,3338.75,53124287,72120886278.0
2010-04-01,3349.88,3391.94,3392.48,3349.88,67772669,92360495841.0
2010-04-02,3400.14,3407.35,3412.2,3391.81,69073452,99040760060.0
2010-04-06,3422.85,3405.15,3436.29,3386.89,65191710,93985883918.0
2010-04-07,3403.09,3386.95,3404.58,3369.02,54011228,76733159936.0
2010-04-08,3381.31,3346.74,3381.31,3336.16,62185322,89317468603.0
2010-04-09,3348.77,3379.17,3379.4,3342.47,51280567,75590356319.0
2010-04-12,3388.35,3351.48,3393.56,3330.3,74565150,105996609644.0
2010-04-13,3350.73,3391.72,3401.71,3324.05,79907695,116440339286.0
2010-04-14,3394.64,3403.71,3404.52,3377.44,60306131,90787568716.0
2010-04-15,3407.02,3394.57,3412.94,3365.88,61051685,88700235636.0
2010-04-16,3388.29,3356.33,3388.29,3348.78,47140368,67235596653.0
2010-04-19,3313.5,3176.42,3313.5,3175.44,88416300,118855971989.0
2010-04-20,3176.41,3173.37,3196.65,3130.96,64137859,88005965691.0
2010-04-21,3178.88,3236.68,3237.54,3164.76,66928331,93373377791.0
2010-04-22,3222.68,3201.54,3231.99,3177.73,71081688,98970386343.0
2010-04-23,3198.78,3190.0,3224.74,3172.58,61252679,92115669956.0
2010-04-26,3195.46,3172.0,3207.72,3168.37,50894199,74959121055.0
2010-04-27,3163.1,3108.41,3163.1,3060.85,65296574,88058360562.0
2010-04-28,3080.32,3097.35,3122.11,3062.08,45995406,65484924588.0
2010-04-29,3114.94,3060.06,3130.7,3059.8,48260971,69250868103.0
2010-04-30,3060.12,3067.36,3068.13,3014.07,54477881,73190884013.0
2010-05-04,3005.49,3019.45,3056.08,2994.92,41248610,54558607131.0
2010-05-05,2981.78,3036.39,3036.86,2943.36,59670441,80835340414.0
2010-05-06,3014.91,2896.86,3014.91,2895.39,58770413,81502262034.0
2010-05-07,2835.88,2836.79,2892.53,2817.15,61119399,79147499714.0
2010-05-10,2842.37,2858.23,2872.31,2798.52,50209173,64909188147.0
2010-05-11,2916.33,2800.82,2922.12,2790.7,58363490,73894666754.0
2010-05-12,2781.71,2818.16,2832.15,2756.42,53002271,64693988243.0
2010-05-13,2818.58,2886.91,2886.97,2811.66,55145778,67486536614.0
2010-05-14,2865.58,2868.02,2888.09,2849.24,42498719,55175291043.0
2010-05-17,2828.88,2714.72,2828.88,2712.44,52166847,62395513473.0
2010-05-18,2711.41,2771.35,2781.84,2686.97,54509671,62746245805.0
2010-05-19,2748.95,2762.17,2803.7,2723.3,45576221,54656401336.0
2010-05-20,2739.22,2726.02,2793.88,2721.07,42174803,52677914862.0
2010-05-21,2656.42,2768.79,2769.09,2647.6,54475383,63501808937.0
2010-05-24,2787.75,2873.47,2886.37,2787.75,74502338,89961882752.0
2010-05-25,2851.26,2813.94,2855.33,2798.02,55168327,67954988050.0
2010-05-26,2814.44,2813.94,2839.03,2797.63,39858564,48495603059.0
2010-05-27,2808.05,2859.98,2866.86,2771.59,53445209,65266773667.0
2010-05-28,2885.86,2850.3,2893.69,2835.07,51534989,64342505421.0
2010-05-31,2835.33,2773.26,2857.42,2772.79,46216854,56695803642.0
2010-06-01,2755.28,2744.16,2782.29,2710.59,44851426,53230913831.0
2010-06-02,2729.33,2757.53,2757.91,2700.07,39587020,46364229493.0
2010-06-03,2769.1,2736.08,2787.51,2735.7,39587258,47143262922.0
2010-06-04,2721.36,2744.39,2748.48,2713.09,32746291,39858363381.0
2010-06-07,2692.83,2695.72,2716.4,2673.34,39541993,47062703369.0
2010-06-08,2694.11,2699.34,2720.59,2672.06,35140182,42677104255.0
2010-06-09,2711.64,2782.13,2787.82,2687.33,60209533,70710080539.0
2010-06-10,2755.94,2750.02,2776.26,2746.11,42906334,50312244286.0
2010-06-11,2766.2,2758.87,2782.09,2755.95,40558585,48871478557.0
2010-06-17,2778.53,2742.73,2784.92,2742.64,32612356,40293233998.0
2010-06-18,2739.03,2696.17,2755.84,2686.61,41808344,50256350918.0
2010-06-21,2698.98,2780.66,2784.47,2686.32,55261482,62809190519.0
2010-06-22,2772.89,2783.72,2795.32,2766.44,39096052,45207207792.0
2010-06-23,2768.7,2758.5,2788.22,2734.05,35600350,41600240721.0
2010-06-24,2753.71,2757.5,2783.51,2739.81,29220682,33772857040.0
2010-06-25,2744.12,2736.29,2759.45,2715.66,30671782,34649179151.0
2010-06-28,2734.51,2716.78,2751.46,2710.09,27710044,31198277084.0
2010-06-29,2717.47,2592.02,2724.23,2591.69,48758552,50635969685.0
2010-06-30,2572.91,2563.07,2575.82,2546.84,35698794,35809892277.0
2010-07-01,2557.92,2526.07,2574.1,2524.57,32857646,32478457404.0
2010-07-02,2523.03,2534.1,2542.12,2462.2,44914100,43367318435.0
2010-07-05,2507.35,2512.65,2529.43,2476.49,32178574,30922298985.0
2010-07-06,2504.87,2562.9,2563.41,2502.93,39714762,38976836519.0
2010-07-07,2561.11,2580.48,2580.61,2548.56,35720909,37059898462.0
2010-07-08,2591.51,2575.92,2602.23,2564.64,34056966,35348760455.0
2010-07-09,2578.55,2647.1,2662.16,2557.26,58493045,61470066938.0
2010-07-12,2647.42,2676.22,2689.81,2636.65,58462491,63462262470.0
2010-07-13,2649.66,2634.59,2649.66,2618.34,43228506,45125109071.0
2010-07-14,2640.93,2653.61,2684.62,2640.54,46688860,49497106670.0
2010-07-15,2650.33,2608.52,2680.44,2607.79,40440459,41444710868.0
2010-07-16,2597.0,2616.13,2621.33,2573.79,35063302,35422326209.0
2010-07-19,2592.09,2682.47,2691.94,2585.01,53868070,59826125817.0
2010-07-20,2685.46,2741.5,2746.24,2685.46,73128345,80958216794.0
2010-07-21,2744.7,2747.33,2766.21,2733.72,70757092,73734684585.0
2010-07-22,2738.03,2781.29,2783.14,2734.07,61064806,63576603000.0
2010-07-23,2787.52,2793.08,2806.98,2769.44,64518565,70423335023.0
2010-07-26,2798.76,2811.05,2811.95,2775.78,53580026,59848905278.0
2010-07-27,2803.75,2795.72,2812.21,2785.37,49799884,55963991462.0
2010-07-28,2796.48,2863.72,2866.4,2784.16,79985954,84516845765.0
2010-07-29,2866.77,2877.98,2888.6,2852.0,95965409,92278224492.0
2010-07-30,2871.48,2868.85,2876.14,2844.68,62575591,65224482367.0
2010-08-02,2868.28,2917.27,2922.61,2867.45,71743300,73569074427.0
2010-08-03,2925.25,2865.97,2929.61,2865.76,81748364,86870574135.0
2010-08-04,2858.35,2876.43,2876.59,2818.25,71318039,75670144265.0
2010-08-05,2874.66,2850.83,2877.31,2833.67,67157581,73038457567.0
2010-08-06,2848.16,2897.66,2898.53,2821.03,74914895,82145150913.0
2010-08-09,2894.1,2918.24,2922.62,2888.04,74726391,83431980844.0
2010-08-10,2920.4,2832.64,2925.3,2832.08,78435034,84283699448.0
2010-08-11,2823.15,2850.21,2864.36,2823.15,54979133,58786302173.0
2010-08-12,2822.79,2816.39,2860.37,2810.1,59893227,65825613506.0
2010-08-13,2818.41,2855.55,2856.04,2799.22,58507721,62923747790.0
2010-08-16,2851.22,2922.08,2927.69,2843.02,81068043,91427507573.0
2010-08-17,2927.26,2942.29,2949.73,2917.83,76452912,86700542871.0
2010-08-18,2945.98,2937.36,2962.75,2924.67,70747600,80832368101.0
2010-08-19,2940.77,2955.4,2975.19,2928.01,76924865,91734587115.0
2010-08-20,2943.33,2898.33,2951.96,2892.64,71663306,82298173112.0
2010-08-23,2895.71,2896.19,2920.54,2886.66,48915517,57772779300.0
2010-08-24,2892.13,2911.83,2933.12,2866.8,61093796,65036592635.0
2010-08-25,2893.99,2843.02,2904.66,2842.25,63610621,67048224427.0
2010-08-26,2853.1,2850.09,2868.88,2836.13,48670442,51862922913.0
2010-08-27,2847.45,2858.57,2861.07,2833.42,40789582,46699343358.0
2010-08-30,2874.25,2915.01,2921.08,2872.92,65749882,77341616491.0
2010-08-31,2905.15,2903.19,2910.06,2889.81,65766104,79976347302.0
2010-09-01,2907.66,2884.04,2931.76,2859.17,76975578,87931887194.0
2010-09-02,2917.74,2921.39,2931.55,2903.03,70700851,88923142593.0
2010-09-03,2926.94,2920.21,2929.55,2891.88,72641027,87724829649.0
2010-09-06,2935.89,2975.09,2980.42,2935.89,93855681,110466116424.0
2010-09-07,2979.3,2983.11,2991.44,2959.9,73519361,85488193860.0
2010-09-08,2970.0,2980.97,2982.72,2953.84,72872002,92660879129.0
2010-09-09,2986.87,2926.46,2986.87,2922.2,81395554,103248280132.0
2010-09-10,2928.0,2932.55,2940.79,2890.03,65086704,83743163807.0
2010-09-13,2933.59,2962.32,2977.08,2925.42,67279900,87536178972.0
2010-09-14,2971.55,2965.01,2984.47,2954.51,70105903,87204421695.0
2010-09-15,2965.54,2913.19,2965.54,2905.63,71619642,86445964329.0
2010-09-16,2908.32,2857.79,2917.85,2834.03,74074284,84198375910.0
2010-09-17,2864.72,2861.37,2877.08,2847.68,51938867,62466326737.0
2010-09-20,2865.04,2849.83,2872.22,2829.76,50283104,57582985440.0
2010-09-21,2859.43,2857.48,2869.38,2844.12,35751881,44742025248.0
2010-09-27,2869.93,2905.03,2905.53,2864.21,49071823,62611534184.0
2010-09-28,2900.54,2880.91,2900.54,2875.66,58660826,80859749613.0
2010-09-29,2877.27,2874.81,2908.73,2866.85,56782236,74516021987.0
2010-09-30,2859.06,2935.57,2935.59,2857.42,63000247,80709727516.0
2010-10-08,2965.65,3044.23,3055.84,2963.24,99994720,134986634589.0
2010-10-11,3069.19,3132.9,3154.2,3069.19,158734904,212607066630.0
2010-10-12,3121.64,3172.73,3173.85,3106.22,127361705,178245219770.0
2010-10-13,3176.89,3217.58,3221.65,3165.58,144607773,195444719896.0
2010-10-14,3245.13,3224.14,3286.02,3215.03,179611838,227654458634.0
2010-10-15,3204.72,3327.68,3327.68,3199.12,193414140,245619296303.0
2010-10-18,3345.8,3306.16,3390.01,3288.78,217882051,267884370339.0
2010-10-19,3300.52,3375.67,3375.87,3280.0,130441791,165488914490.0
2010-10-20,3304.22,3396.88,3439.23,3301.01,166528460,235372057455.0
2010-10-21,3404.72,3374.69,3418.09,3344.96,123883245,175383712722.0
2010-10-22,3365.6,3378.66,3408.49,3346.11,116361857,163153618542.0
2010-10-25,3386.85,3481.08,3481.35,3366.43,145433105,208809404746.0
2010-10-26,3491.47,3466.08,3499.82,3436.46,142636999,205216457176.0
2010-10-27,3451.43,3403.87,3490.22,3398.09,123761570,177072552070.0
2010-10-28,3390.43,3397.69,3420.89,3371.44,98349456,141135882042.0
2010-10-29,3400.26,3379.98,3404.6,3351.6,100458970,145528365885.0
2010-11-01,3390.41,3473.0,3473.0,3390.41,126269148,186725762506.0
2010-11-02,3484.23,3463.13,3522.18,3449.72,154911450,233976228513.0
2010-11-03,3462.74,3420.34,3474.71,3419.08,126359303,178803329799.0
2010-11-04,3426.46,3480.5,3480.93,3419.64,116799481,164721393800.0
2010-11-05,3538.99,3520.8,3554.47,3498.28,137688027,196618041454.0
2010-11-08,3534.19,3548.57,3549.3,3506.38,126470759,174067581795.0
2010-11-09,3547.44,3523.95,3547.44,3498.62,122454533,170174876748.0
2010-11-10,3507.2,3499.11,3508.27,3470.97,120078578,176529783278.0
2010-11-11,3490.74,3509.98,3557.99,3484.89,138976233,209121524845.0
2010-11-12,3484.61,3291.83,3497.06,3284.35,160733850,224200791087.0
2010-11-15,3298.74,3314.89,3319.98,3241.76,102315724,144492952434.0
2010-11-16,3311.62,3169.54,3311.62,3155.48,108307072,154278113336.0
2010-11-17,3124.11,3103.91,3168.93,3087.51,83258080,118981231625.0
2010-11-18,3134.94,3147.96,3158.63,3097.39,65697292,94476115838.0
2010-11-19,3168.17,3178.85,3178.85,3076.21,83347654,114672977294.0
2010-11-22,3148.22,3171.94,3200.47,3137.75,83212776,114302974766.0
2010-11-23,3156.48,3107.18,3156.48,3061.62,77399591,105281461473.0
2010-11-24,3088.99,3177.04,3177.41,3088.99,75332083,107688446612.0
2010-11-25,3197.97,3223.48,3227.05,3172.28,83442094,116948295300.0
2010-11-26,3214.13,3194.85,3224.52,3170.36,64467824,96226367197.0
2010-11-29,3183.54,3190.05,3206.76,3159.46,58994892,88799073974.0
2010-11-30,3187.53,3136.99,3205.78,3060.44,85762355,120572328539.0
2010-12-01,3127.26,3136.02,3150.44,3111.65,48882668,69472579579.0
2010-12-02,3185.76,3155.06,3194.23,3154.32,61023908,89764278070.0
2010-12-03,3161.93,3158.16,3171.38,3134.42,50475354,71387337327.0
2010-12-06,3168.88,3165.57,3185.33,3140.55,56362630,80043207937.0
2010-12-07,3152.73,3200.34,3214.69,3112.22,58483653,85548293130.0
2010-12-08,3194.9,3171.88,3215.28,3166.77,59515663,87056105048.0
2010-12-09,3156.0,3123.37,3175.05,3122.2,66152965,83159036199.0
2010-12-10,3107.38,3161.98,3172.16,3101.08,57108105,78069117443.0
2010-12-13,3176.33,3261.06,3261.34,3173.56,95713739,132088353616.0
2010-12-14,3270.2,3269.47,3279.36,3254.18,84104241,114928736614.0
2010-12-15,3270.78,3247.64,3282.77,3242.52,72269785,104793174443.0
2010-12-16,3246.01,3230.67,3258.39,3224.12,56799625,79262377015.0
2010-12-17,3229.3,3225.66,3232.84,3212.58,44919147,65697259729.0
2010-12-20,3239.02,3178.66,3249.76,3118.0,74759693,107521977283.0
2010-12-21,3184.7,3249.51,3251.55,3168.89,79852420,112461675290.0
2010-12-22,3253.82,3215.45,3263.45,3201.67,69936258,98309032433.0
2010-12-23,3210.67,3188.61,3237.64,3183.15,61315847,84430476449.0
2010-12-24,3170.64,3162.96,3187.72,3139.45,55137767,72989136209.0
2010-12-27,3176.11,3099.71,3219.66,3092.26,70017107,99855478580.0
2010-12-28,3084.82,3044.93,3095.36,3041.33,56325749,74843956564.0
2010-12-29,3049.93,3061.83,3062.56,3025.22,45192775,60134777207.0
2010-12-30,3063.05,3064.1,3079.91,3027.9,54281429,70284275917.0
2010-12-31,3069.05,3128.26,3129.45,3067.11,62566078,90545901164.0
2011-01-04,3155.56,3189.68,3194.36,3143.6,85410440,129159620771.0
2011-01-05,3170.18,3175.66,3193.78,3158.87,79268810,116943213907.0
2011-01-06,3177.83,3159.64,3198.05,3152.57,59681092,91568447016.0
2011-01-07,3156.36,3166.62,3209.9,3141.12,84093233,113651250191.0
2011-01-10,3162.08,3108.19,3182.78,3102.43,65494406,87992881712.0
2011-01-11,3096.25,3124.92,3131.29,3084.51,56985917,74832449402.0
2011-01-12,3135.18,3142.34,3153.43,3099.41,58498518,71551421416.0
2011-01-13,3153.99,3141.28,3157.04,3127.16,51936988,66925783701.0
2011-01-14,3129.67,3091.86,3129.67,3083.51,53351439,71012100141.0
2011-01-17,3067.43,2974.35,3078.88,2968.61,66807562,85454121099.0
2011-01-18,2965.42,2977.65,2984.47,2947.6,42964564,54652416480.0
2011-01-19,2978.46,3044.85,3045.6,2967.24,56571942,72772226927.0
2011-01-20,3037.86,2944.71,3037.86,2944.5,61046643,76440116738.0
2011-01-21,2935.23,2983.46,3030.26,2935.14,73102966,85157790710.0
2011-01-24,2986.09,2954.23,2999.2,2943.92,65472545,75805236102.0
2011-01-25,2949.65,2938.65,2960.59,2919.16,48982689,57572819537.0
2011-01-26,2939.77,2978.43,2982.32,2939.36,43374979,51746038070.0
2011-01-27,2953.59,3026.47,3037.16,2935.27,82585919,96976029913.0
2011-01-28,3020.12,3036.74,3047.27,3011.38,63013589,78241917729.0
2011-01-31,3035.42,3076.51,3076.55,3032.45,67105914,83070309373.0
2011-02-01,3083.49,3077.28,3087.23,3062.83,49862530,65832698489.0
2011-02-09,3055.4,3040.95,3087.55,3031.75,60394145,78148356164.0
2011-02-10,3034.08,3104.16,3105.32,3024.35,66603662,86967273678.0
2011-02-11,3100.27,3120.96,3133.5,3092.58,75975553,99001500830.0
2011-02-14,3123.25,3219.14,3227.43,3123.25,121302331,155829380802.0
2011-02-15,3223.22,3217.67,3259.64,3215.62,109554438,147747227925.0
2011-02-16,3211.14,3248.53,3248.85,3195.47,91334283,125549596910.0
2011-02-17,3255.63,3245.91,3265.26,3218.91,88964695,127559673833.0
2011-02-18,3240.05,3211.88,3242.37,3203.12,75378684,104743371599.0
2011-02-21,3192.15,3257.91,3258.28,3189.85,79399776,108055882413.0
2011-02-22,3267.61,3163.58,3269.05,3161.83,107863741,147588609007.0
2011-02-23,3152.44,3174.74,3182.19,3145.99,71324854,97251422739.0
2011-02-24,3170.24,3190.94,3195.69,3157.97,66486893,94908281477.0
2011-02-25,3190.87,3197.62,3213.79,3159.85,61619275,88275899352.0
2011-02-28,3200.68,3239.56,3241.6,3178.83,76630663,109249970846.0
2011-03-01,3241.71,3254.89,3273.51,3235.75,88566954,124040755772.0
2011-03-02,3237.12,3243.3,3257.42,3202.83,80910641,113592007455.0
2011-03-03,3248.16,3221.72,3271.64,3221.04,101219997,131217797700.0
2011-03-04,3223.51,3270.67,3273.66,3217.48,80013915,107401810462.0
2011-03-07,3287.41,3334.51,3337.47,3287.41,118187197,170406772534.0
2011-03-08,3335.71,3337.46,3342.71,3311.72,84878655,126306326053.0
2011-03-09,3344.1,3338.86,3355.49,3322.7,78026361,113534089995.0
2011-03-10,3330.44,3280.26,3330.44,3279.33,78212642,117952630963.0
2011-03-11,3263.08,3247.38,3290.7,3240.18,67208335,100306077088.0
2011-03-14,3238.91,3262.92,3263.91,3230.11,63689783,94134688007.0
2011-03-15,3250.59,3203.96,3250.59,3147.96,96033979,129603315155.0
2011-03-16,3204.92,3248.2,3250.88,3202.93,78859520,111826095701.0
2011-03-17,3216.29,3197.1,3240.38,3185.08,85687114,117295727563.0
2011-03-18,3228.92,3215.69,3239.96,3205.14,61340161,86845200065.0
2011-03-21,3220.68,3207.11,3236.28,3194.15,59105037,84105739105.0
2011-03-22,3217.8,3222.96,3227.8,3175.93,57248684,80009792794.0
2011-03-23,3222.32,3264.93,3267.0,3216.65,72077585,98540423659.0
2011-03-24,3269.57,3251.36,3273.37,3250.02,61304244,88058905863.0
2011-03-25,3256.18,3294.48,3304.26,3254.68,86895979,122021366960.0
2011-03-28,3307.41,3290.57,3328.07,3286.86,97684300,139030083023.0
2011-03-29,3288.56,3257.98,3309.2,3256.34,105280164,132908076725.0
2011-03-30,3256.72,3256.08,3274.98,3233.11,78336337,103271930321.0
2011-03-31,3257.16,3223.29,3264.96,3210.17,64503880,86565372662.0
2011-04-01,3227.56,3272.73,3272.77,3220.91,63094722,86711549873.0
2011-04-06,3269.19,3311.07,3315.3,3268.76,105823674,143030090888.0
2011-04-07,3313.47,3324.42,3330.8,3302.82,84681762,112678585789.0
2011-04-08,3321.54,3353.36,3353.89,3314.09,73929210,107329316269.0
2011-04-11,3363.37,3333.43,3380.53,3331.17,104420545,141974385699.0
2011-04-12,3324.75,3326.77,3350.16,3307.48,101938506,122863556078.0
2011-04-13,3311.32,3372.03,3372.03,3296.51,87036338,108305234380.0
2011-04-14,3374.32,3353.56,3378.7,3347.49,88972241,107491228060.0
2011-04-15,3345.13,3358.94,3378.11,3323.56,78514874,98934572633.0
2011-04-18,3346.15,3359.44,3372.9,3335.6,86582624,107178227750.0
2011-04-19,3334.91,3295.81,3334.91,3290.74,85106933,104368983043.0
2011-04-20,3300.42,3295.76,3311.73,3281.83,72343318,93667138370.0
2011-04-21,3312.27,3317.37,3330.24,3301.94,73240424,96739132646.0
2011-04-22,3317.08,3299.94,3325.46,3291.64,67171455,83528333290.0
2011-04-25,3292.48,3249.57,3292.48,3247.69,74421829,98455879623.0
2011-04-26,3242.53,3230.96,3257.8,3216.21,59096417,76696858373.0
2011-04-27,3242.62,3209.5,3256.41,3189.04,62443567,75111247063.0
2011-04-28,3224.41,3161.78,3237.19,3160.41,65050235,79155830155.0
2011-04-29,3161.16,3192.72,3193.6,3147.14,53683065,63455814284.0
2011-05-03,3192.84,3211.13,3212.05,3164.93,54998910,64348987555.0
2011-05-04,3192.84,3129.03,3193.45,3120.96,66716340,83567655304.0
2011-05-05,3115.0,3126.12,3136.9,3105.85,52567747,63009373497.0
2011-05-06,3093.81,3121.4,3141.68,3083.91,55352186,69747372718.0
2011-05-09,3126.26,3129.76,3149.94,3118.14,46027404,57287412506.0
2011-05-10,3135.15,3153.22,3153.3,3121.75,40932995,54931224820.0
2011-05-11,3153.65,3145.08,3164.65,3127.49,47688533,59507719522.0
2011-05-12,3123.16,3101.6,3142.4,3101.14,48799501,61703080348.0
2011-05-13,3105.3,3128.09,3128.44,3080.19,46895951,57757204870.0
2011-05-16,3120.44,3100.46,3137.6,3098.78,45194319,54238723382.0
2011-05-17,3097.07,3116.03,3136.23,3076.95,51203731,65417943732.0
2011-05-18,3109.29,3139.38,3145.7,3106.55,39641768,49757174173.0
2011-05-19,3148.35,3120.64,3154.94,3118.62,43110782,52249679659.0
2011-05-20,3120.58,3121.6,3133.43,3113.27,38468012,48967028428.0
2011-05-23,3115.31,3022.98,3115.31,3021.45,55902472,66976426510.0
2011-05-24,3013.72,3026.22,3029.75,2999.89,41608944,52971692396.0
2011-05-25,3020.32,2990.34,3030.99,2988.09,39289704,48604397867.0
2011-05-26,3011.47,2978.38,3021.2,2977.6,37003747,48346482355.0
2011-05-27,2980.72,2963.31,2996.6,2962.07,42770905,52019994149.0
2011-05-30,2956.57,2954.51,2982.58,2942.36,34671160,42960260576.0
2011-05-31,2958.61,3001.56,3001.73,2946.15,39689399,50553386204.0
2011-06-01,2996.08,3004.17,3006.56,2985.71,38419327,49060076491.0
2011-06-02,2970.63,2955.71,2984.49,2923.02,52617867,61748347004.0
2011-06-03,2951.58,2986.35,2993.9,2951.2,39076164,49273758984.0
2011-06-07,2977.68,3004.26,3006.57,2974.36,36852332,49859134919.0
2011-06-08,3003.58,3008.65,3012.81,2965.92,42908758,51123188095.0
2011-06-09,3000.4,2951.89,3004.06,2951.89,47496636,55381280377.0
2011-06-10,2947.93,2961.93,2964.08,2925.87,42201882,50942992933.0
2011-06-13,2940.39,2950.35,2957.52,2921.75,38351668,46991283431.0
2011-06-14,2947.66,2993.56,3000.53,2943.53,55982815,66158911408.0
2011-06-15,2984.96,2963.12,2999.15,2963.11,44390852,54467701030.0
2011-06-16,2939.68,2917.58,2946.81,2915.4,41135482,47067185495.0
2011-06-17,2916.41,2892.16,2934.06,2891.01,41176530,51647156163.0
2011-06-20,2888.94,2874.9,2896.08,2862.41,37991982,45416696840.0
2011-06-21,2883.35,2909.07,2909.57,2877.05,42038923,50160678865.0
2011-06-22,2913.67,2908.58,2921.03,2894.18,37318802,43263825738.0
2011-06-23,2899.01,2957.63,2966.54,2888.68,45941117,55276886318.0
2011-06-24,2946.61,3027.47,3047.94,2944.05,85459240,104972923209.0
2011-06-27,3028.5,3036.49,3056.02,3019.24,65615771,79044152725.0
2011-06-28,3040.18,3041.73,3046.8,3014.0,55766254,70333384864.0
2011-06-29,3039.05,3000.17,3043.81,2999.95,53476848,61717623012.0
2011-06-30,3003.23,3044.09,3058.62,3003.23,62502549,73891668789.0
2011-07-01,3052.12,3049.75,3071.21,3034.07,56766653,72614645374.0
2011-07-04,3064.94,3121.98,3124.58,3064.94,80464031,102679821385.0
2011-07-05,3122.9,3122.5,3128.53,3105.09,67763335,81999827927.0
2011-07-06,3116.12,3113.71,3116.12,3084.83,61555807,76556996969.0
2011-07-07,3123.29,3101.68,3140.1,3101.1,71810360,92120550136.0
2011-07-08,3105.49,3109.18,3124.39,3093.37,51282593,65155542913.0
